"","Start","ID","Type","Via","Altitude(ft/m)","Position (lat/long)","Distance (leg/total)","Name","URL"
"58","O","WIDN","APT","-","0 / 0","0.92268 / 104.53231","- / 0 nm","Tanjung/Pinang Kijang","https://flightplandatabase.com/plan/145296"
"59","•","TI","NDB","-","100 / 30","0.91973 / 104.52617","0  / 0 nm","TANJUNG PINANG NDB","https://flightplandatabase.com/plan/145296"
"60","O","WSSS","APT","-","0 / 0","1.35192 / 103.99560","41  / 41 nm","Singapore Changi Intl. Airport","https://flightplandatabase.com/plan/145296"
"61","O","WSSS","APT","-","0 / 0","1.35192 / 103.99560","- / 0 nm","Singapore Changi Intl. Airport","https://flightplandatabase.com/plan/578879"
"62","•","TI","NDB","-","0 / 0","0.91973 / 104.52617","41  / 41 nm","TANJUNG PINANG NDB","https://flightplandatabase.com/plan/578879"
"63","O","WIDN","APT","-","0 / 0","0.92268 / 104.53231","0  / 41 nm","Tanjung/Pinang Kijang","https://flightplandatabase.com/plan/578879"
"64","O","WIBT","APT","-","0 / 0","1.05282 / 103.39278","- / 0 nm","Tanjung Balai Karimun/Seibati (DGAC)","https://flightplandatabase.com/plan/145297"
"65","•","SJ","VOR","-","2,400 / 732","1.22259 / 103.85423","29  / 29 nm","SINJON VOR-DME","https://flightplandatabase.com/plan/145297"
"66","O","WSSS","APT","-","0 / 0","1.35192 / 103.99560","11  / 41 nm","Singapore Changi Intl. Airport","https://flightplandatabase.com/plan/145297"
"67","O","WSSS","APT","-","0 / 0","1.35192 / 103.99560","- / 0 nm","Singapore Changi Intl. Airport","https://flightplandatabase.com/plan/635215"
"68","•","SJ","VOR","-","4,100 / 1,250","1.22259 / 103.85423","11  / 11 nm","SINJON VOR-DME","https://flightplandatabase.com/plan/635215"
"69","O","WIBT","APT","-","0 / 0","1.05282 / 103.39278","29  / 41 nm","Tanjung Balai Karimun/Seibati (DGAC)","https://flightplandatabase.com/plan/635215"
"70","O","WMKJ","APT","-","0 / 0","1.64056 / 103.67000","- / 0 nm","Senai Intl - Sultan Ismail","https://flightplandatabase.com/plan/1319617"
